,Name,Latitude,Longitude,location
76,Yoyogisanya Elementary School (代々木山谷小学校),35.68122185670974,139.69489574432373,"{""coordinates"": [139.694896, 35.681222], ""type"": ""Point""}"
77,COCO塾 新宿校,35.692064,139.697122,"{""coordinates"": [139.697122, 35.692064], ""type"": ""Point""}"
78,専門学校 東京スクール・オブ・ビジネス,35.68433037190391,139.70143652408953,"{""coordinates"": [139.701437, 35.68433], ""type"": ""Point""}"
79,studio yoggy 新宿EASTスタジオ,35.69086395735752,139.7020076063826,"{""coordinates"": [139.702008, 35.690864], ""type"": ""Point""}"
80,Corcoran School of the Arts & Design,38.89626907070644,-77.03957818487572,"{""coordinates"": [-77.039578, 38.896269], ""type"": ""Point""}"
81,George Washington University Law School,38.899474578195544,-77.04500225004685,"{""coordinates"": [-77.045002, 38.899475], ""type"": ""Point""}"
82,GWU - Elliott School of International Affairs,38.896048997066416,-77.04412061646785,"{""coordinates"": [-77.044121, 38.896049], ""type"": ""Point""}"
83,"The School Without Walls of Washington, DC",38.89827388881335,-77.04802260117003,"{""coordinates"": [-77.048023, 38.898274], ""type"": ""Point""}"
84,Robert H. Smith School - DC Campus,38.894085,-77.030633,"{""coordinates"": [-77.030633, 38.894085], ""type"": ""Point""}"
85,Graduate School of Political Management,38.8997530516274,-77.04604625812368,"{""coordinates"": [-77.046046, 38.899753], ""type"": ""Point""}"
86,"University of Maryland, Robert H Smith School of Business DC Campus",38.893818963087696,-77.02961524126383,"{""coordinates"": [-77.029615, 38.893819], ""type"": ""Point""}"
87,The Chicago School Of Professional Psychology - South Campus,38.90141195556503,-77.03276208829999,"{""coordinates"": [-77.032762, 38.901412], ""type"": ""Point""}"
88,Georgetown University School of Continuing Studies,38.90211435293553,-77.02108389782622,"{""coordinates"": [-77.021084, 38.902114], ""type"": ""Point""}"
89,SAIL Public Charter School,38.903738,-77.03675111,"{""coordinates"": [-77.036751, 38.903738], ""type"": ""Point""}"
90,Amidon-Bowen Elementary School,38.8949068,-77.0237107,"{""coordinates"": [-77.023711, 38.894907], ""type"": ""Point""}"
91,Thomson Elementary School,38.9037753634769,-77.0289775179778,"{""coordinates"": [-77.028978, 38.903775], ""type"": ""Point""}"
92,Johns Hopkins Carey Business School,38.9081864,-77.0380059,"{""coordinates"": [-77.038006, 38.908186], ""type"": ""Point""}"
93,Graduate School USA,38.88655854992456,-77.02004157037392,"{""coordinates"": [-77.020042, 38.886559], ""type"": ""Point""}"
94,Georgetown University School of Continuing Studies,38.9015945,-77.0212212,"{""coordinates"": [-77.021221, 38.901595], ""type"": ""Point""}"
95,Benjamin Franklin School,38.902128999999995,-77.029303,"{""coordinates"": [-77.029303, 38.902129], ""type"": ""Point""}"
96,"The School of the Ancient Alkebu-lanic Mystic Rites, Inc.",38.90153121948242,-77.041259765625,"{""coordinates"": [-77.04126, 38.901531], ""type"": ""Point""}"
97,Flatiron School,38.898128509521484,-77.03288269042969,"{""coordinates"": [-77.032883, 38.898129], ""type"": ""Point""}"
98,global business school network,38.90296426891,-77.03340941698576,"{""coordinates"": [-77.033409, 38.902964], ""type"": ""Point""}"
99,Elliott School Harry Harding Auditorium,38.896398,-77.044207,"{""coordinates"": [-77.044207, 38.896398], ""type"": ""Point""}"
